event_id,origin_time,year,magnitude,depth_km,method,rmse,mae,class_accuracy,class_within_1,class_mae,effective_density,n_station_all
i2016_000828,2016-04-16 01:25:05.47,2016,7.3,12.45,idw,0.3729756065250466,0.27732094084902037,0.7026530228185761,0.9867872044506258,0.31261595547309834,27.81286745700847,1798
i2016_000828,2016-04-16 01:25:05.47,2016,7.3,12.45,kriging,0.38048399296986257,0.2856103223316758,0.6949273682583835,0.9847009735744089,0.32251297282094027,27.81286745700847,1798
i2016_001131,2016-04-16 03:55:53.08,2016,5.8,10.89,gmpe_calibrated,0.5418745567293601,0.4188211765316911,0.5703833772314896,0.9802458296751537,0.45791766999197336,25.495547205752317,574
i2016_001131,2016-04-16 03:55:53.08,2016,5.8,10.89,gmpe_kriging,0.4348552650821824,0.34406061864409043,0.6273127824927649,0.9901892856799177,0.38326342145481734,25.495547205752317,574
i2016_001131,2016-04-16 03:55:53.08,2016,5.8,10.89,gmpe_raw,0.844126889713063,0.7148101390084847,0.3854389358308731,0.9325687808539508,0.6822594345346439,0.0,574
i2016_001131,2016-04-16 03:55:53.08,2016,5.8,10.89,idw,0.42316944248336885,0.3297858133440288,0.6377345299645563,0.994186046511628,0.37268565962970546,25.495547205752317,574
i2016_001131,2016-04-16 03:55:53.08,2016,5.8,10.89,kriging,0.43216133407290774,0.3416480012333149,0.6265896539494351,0.9901892856799177,0.3831799192192348,25.495547205752317,574
i2018_001267,2018-09-06 03:07:59.33,2018,6.7,37.04,gmpe_calibrated,0.5616176534776288,0.4463883444593735,0.5135652259235638,0.9477771508937187,0.5497391617197338,13.342132100828595,623
i2018_001267,2018-09-06 03:07:59.33,2018,6.7,37.04,gmpe_kriging,0.4083020363865171,0.3115347609842519,0.644124053521419,0.9830228278994884,0.3713826366559485,13.342132100828595,623
i2018_001267,2018-09-06 03:07:59.33,2018,6.7,37.04,gmpe_raw,0.606345905807854,0.4818407437318952,0.5035650623885919,0.947415329768271,0.557786190634096,0.0,623
i2018_001267,2018-09-06 03:07:59.33,2018,6.7,37.04,idw,0.39639602341571106,0.3035484114015934,0.6461100569259962,0.9875222816399288,0.360128617363344,13.342132100828595,623
i2018_001267,2018-09-06 03:07:59.33,2018,6.7,37.04,kriging,0.4061417424441135,0.31052763931259936,0.6381175095001461,0.983940348550164,0.3726496463688114,13.342132100828595,623
i2019_000749,2019-06-18 22:22:19.98,2019,6.7,13.99,gmpe_calibrated,0.5004537526027621,0.41557064738385324,0.5523809523809524,0.9866666666666668,0.460836494724723,24.019091078068456,1051
i2019_000749,2019-06-18 22:22:19.98,2019,6.7,13.99,gmpe_kriging,0.3738239051247106,0.2885173277980555,0.6677989130434783,0.9965079365079366,0.33569099378881984,24.019091078068456,1051
i2019_000749,2019-06-18 22:22:19.98,2019,6.7,13.99,gmpe_raw,0.7256275350404882,0.6095377585600373,0.4761904761904761,0.9534883720930232,0.5702959830866807,0.0,1051
i2019_000749,2019-06-18 22:22:19.98,2019,6.7,13.99,idw,0.37618745127403713,0.2889130209578269,0.6807870449011947,0.9955838352375537,0.3246848989298454,24.019091078068456,1051
